Record.id,Shared To.id,Permission Type,Sharing Source,Shared By.id,Shared Time,Shared From.id,Share Related Records
zcrm_318358000000731004,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-01-29 09:04:37,zcrm_318358000000731004,false
zcrm_318358000000829016,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-09 12:10:36,zcrm_318358000000829016,false
zcrm_318358000000854022,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-22 18:40:13,zcrm_318358000000854022,false
zcrm_318358000000943001,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-25 17:47:35,zcrm_318358000000943001,false
zcrm_318358000000952021,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-18 21:04:54,zcrm_318358000000952021,false
zcrm_318358000002098253,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-08-30 13:34:19,zcrm_318358000002098253,false
zcrm_318358000000644014,zcrm_318358000000307150,,0,zcrm_318358000000245015,2021-01-22 10:38:46,zcrm_318358000000644014,false
zcrm_318358000002097037,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-07-28 10:09:03,zcrm_318358000005771016,false
zcrm_318358000002098253,zcrm_318358000000307150,,0,zcrm_318358000000245015,2021-08-30 13:34:13,zcrm_318358000002098253,false
zcrm_318358000005717098,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-07-25 08:44:55,zcrm_318358000005717092,false
