Record Id,Year,Quarter,Start Date,End Date,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Last Computed Time,Period Name.id,Forecast Group Name.id,Forecast Locked,Forecast Locked By.id,Forecast Locked Time
zcrm_318358000001383014,2021,2,2021-04-01,2021-06-30,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:37:25,2021-04-19 15:37:25,EUR,2021-04-19 15:37:52,,,false,,
zcrm_318358000001383016,2021,2,2021-04-01,2021-06-30,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:37:25,2021-04-19 15:37:25,EUR,2021-04-19 15:37:52,,,false,,
zcrm_318358000001383018,2021,2,2021-04-01,2021-06-30,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:37:25,2021-04-19 15:37:25,EUR,2021-04-19 15:37:52,,,false,,
zcrm_318358000001383020,2021,2,2021-04-01,2021-06-30,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:37:25,2021-04-19 15:37:25,EUR,2021-04-19 15:37:52,,,false,,
zcrm_318358000001383024,2021,4,2021-10-01,2021-12-31,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:38:20,2021-04-19 15:38:20,EUR,2021-04-19 15:38:20,,,false,,
zcrm_318358000001383026,2021,4,2021-10-01,2021-12-31,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:38:20,2021-04-19 15:38:20,EUR,2021-04-19 15:38:20,,,false,,
zcrm_318358000001383028,2021,4,2021-10-01,2021-12-31,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:38:20,2021-04-19 15:38:20,EUR,2021-04-19 15:38:20,,,false,,
zcrm_318358000001383030,2021,4,2021-10-01,2021-12-31,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:38:20,2021-04-19 15:38:20,EUR,2021-04-19 15:38:20,,,false,,
zcrm_318358000012389406,2021,4,2021-10-01,2021-12-31,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:38:20,2024-04-25 09:55:57,,,zcrm_318358000012389336,zcrm_318358000012389404,false,,
zcrm_318358000012389480,2021,2,2021-04-01,2021-06-30,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 15:37:25,2024-04-25 09:55:57,,,zcrm_318358000012389332,zcrm_318358000012389404,false,,
